Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-08-26	Madame Grunnebaum's Wulst	5.6 4c 14 V 12 S 4b	Followed P1. Led pitches 2 and 3 linked. Lots and lots of drag, more double len next time	https://www.mountainproject.com/v/madame-grunnebaums-wulst/105799697	3	New York : The Gunks : The Trapps : f. The Guides' Wall (Madame...	3.7	-1	Lead	Onsight	Trad	
2017-08-26	Triple Bulges	5.5 4b 13 IV+ 11 MS 4a	Followed P1 and led P2.	https://www.mountainproject.com/v/triple-bulges/105810522	2	New York : The Gunks : The Trapps : f. The Guides' Wall (Madame...	2.2	-1	Lead	Onsight	Trad	
2017-08-26	Finger Locks or Cedar Box	5.5 4b 13 IV+ 11 MS 4a		https://www.mountainproject.com/v/finger-locks-or-cedar-box/106055576	1	New York : The Gunks : The Trapps : f. The Guides' Wall (Madame...	2.4	-1	Lead	Onsight	Trad	
2017-08-13	Short Job	5.4 4a 12 IV 10 VD 3c		https://www.mountainproject.com/v/short-job/107816567	2	New York : The Gunks : The Trapps : a1. The Uberfall - left	1.9	-1	Lead	Onsight	Trad, TR	
2017-08-13	Rhododendron	5.6 4c 14 V 12 S 4b		https://www.mountainproject.com/v/rhododendron/105810485	1	New York : The Gunks : The Trapps : a2. The Uberfall - right	2.7	-1	Lead	Redpoint	Trad	
2017-08-13	Laurel	5.7 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/laurel/105810464	1	New York : The Gunks : The Trapps : a2. The Uberfall - right	2.5	-1	Lead	Redpoint	Trad	
2017-08-13	Pas de Deux	5.8 5b 16 VI- 15 HVS 4c		https://www.mountainproject.com/v/pas-de-deux/105829283	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	2.6	-1	Follow		Trad	
2017-07-29	Gorilla My Dreams	5.7 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/gorilla-my-dreams/107098017	3	New York : The Gunks : The Trapps : d. Strictly - Shockley's	2.2	-1	Lead	Onsight	Trad	
2017-07-29	Immaculate Virgin	5.6 4c 14 V 12 S 4b PG13		https://www.mountainproject.com/v/immaculate-virgin/106285235	2	New York : The Gunks : The Trapps : f. The Guides' Wall (Madame...	2.3	-1	Lead	Onsight	Trad	
2017-07-22	Frog's Head	5.6 4c 14 V 12 S 4b	Led pitch 2	https://www.mountainproject.com/v/frogs-head/105799771	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	3.1	-1	Lead	Onsight	Trad	
2017-07-22	Baby	5.6 4c 14 V 12 S 4b	Led pitch 2	https://www.mountainproject.com/v/baby/105799782	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	3.0	-1	Lead	Onsight	Trad	
2017-07-09	RMC	5.5 4b 13 IV+ 11 MS 4a	Led pitch 1	https://www.mountainproject.com/v/rmc/106134054	3	New York : The Gunks : The Trapps : b. Jackie and friends	2.4	-1	Lead	Onsight	Trad	
2017-07-09	Horseman	5.5 4b 13 IV+ 11 MS 4a	Led pitch 2	https://www.mountainproject.com/v/horseman/105799721	1	New York : The Gunks : The Trapps : a1. The Uberfall - left	3.4	-1	Lead	Onsight	Trad	
2017-07-09	Ken's Crack	5.7+ 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/kens-crack/105799779	1	New York : The Gunks : The Trapps : a2. The Uberfall - right	3.0	-1			Trad	
2017-07-09	Nice Crack Climb	5.7 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/nice-crack-climb/106133727	1	New York : The Gunks : The Trapps : a1. The Uberfall - left	2.2	-1	Lead	Onsight	Trad	
2017-07-07	Jackie	5.5 4b 13 IV+ 11 MS 4a	Led pitch 2	https://www.mountainproject.com/v/jackie/105812940	2	New York : The Gunks : The Trapps : b. Jackie and friends	3.0	-1	Lead	Onsight	Trad	
2017-07-05	Wind Ridge	5.7 5a 15 V+ 13 MVS 4b	Led pitch 3 	https://www.mountainproject.com/v/wind-ridge/105748361	4	Colorado : Boulder : Eldorado Canyon SP : The Wind Tower : Wind Tower - SW Face	3.1	-1	Lead	Onsight	Trad	
2017-07-05	Breezy	5.5 4b 13 IV+ 11 MS 4a	Led pitch 2	https://www.mountainproject.com/v/breezy/105750472	2	Colorado : Boulder : Eldorado Canyon SP : The Wind Tower : Wind Tower - SW Face	2.4	-1	Lead	Flash	Trad	
